Cluster,Family,Genus,Species,RecordID
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,1
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
0,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
0,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,2
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,3
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
2,Leptodactylidae,Adenomera,AdenomeraAndre,4
